mass_msun,snr_full_window,ratio_true_at_t0,start_M,trials,strong_fraction_dBIC_gt_10,positive_fraction_dBIC_gt_0,median_delta_bic,p10_delta_bic,p90_delta_bic,median_ratio_rec
100.0,30.0,0.1,10.0,100,0.11,0.4,-2.2479590928884067,-9.938540302270942,9.44045391507002,0.10346929001958759
100.0,30.0,0.1,20.0,100,0.11,0.36,-3.6161165565189106,-10.611298499485644,9.451675803514439,0.09950883902291531
100.0,30.0,0.2,0.0,100,0.94,0.99,46.05270855663981,23.708891088988813,69.1371123304336,0.19887723060557363
100.0,30.0,0.2,10.0,100,0.88,0.99,33.91902957896482,17.084446623721094,56.68366602236671,0.1976455451317552
100.0,30.0,0.2,20.0,100,0.86,0.98,29.27479873371983,14.056467143222857,51.16893203188202,0.20126418503695743
100.0,30.0,0.3,0.0,100,1.0,1.0,83.74584418566807,52.30196032150316,125.58156636337923,0.3012176280211404
100.0,30.0,0.3,10.0,100,1.0,1.0,66.48064521251474,41.027235564063646,101.4490091441184,0.2992710216107221
100.0,30.0,0.3,20.0,100,0.99,1.0,62.16601468645329,38.40105548632635,91.1043526142016,0.30203124675147167
100.0,40.0,0.0,0.0,100,0.0,0.0,-13.252649122345701,-14.027898782786054,-10.337604330138157,0.025626129469545365
100.0,40.0,0.0,10.0,100,0.0,0.0,-13.0482645231383,-13.979254720957407,-9.789297296355201,0.027430659643344044
100.0,40.0,0.0,20.0,100,0.0,0.0,-13.120743270570301,-13.965142955098592,-9.82169079410089,0.029312753066901604
100.0,40.0,0.02,0.0,100,0.0,0.0,-12.0032655926159,-13.784074980837786,-6.4615896743390095,0.03237476441586133
100.0,40.0,0.02,10.0,100,0.0,0.0,-12.246380925894893,-13.843917212259863,-7.279979738623259,0.03387552047700845
100.0,40.0,0.02,20.0,100,0.0,0.0,-12.24124522331203,-13.826531516539764,-7.100942319010747,0.03683698109047181
100.0,40.0,0.05,0.0,100,0.04,0.16,-5.485404454556355,-11.44421801601626,2.5495400372935774,0.052927467404045844
100.0,40.0,0.05,10.0,100,0.03,0.17,-5.460562134182703,-11.465641560022614,2.8571509394145305,0.05487356171593311
100.0,40.0,0.05,20.0,100,0.02,0.14,-5.9183570642214315,-11.6072039641556,1.303098652545839,0.05481444684190556
100.0,40.0,0.1,0.0,100,0.6,0.99,14.61688343144663,4.836134261080331,27.407946658660917,0.10449129073156136
100.0,40.0,0.1,10.0,100,0.49,0.95,9.738697829010489,-0.42974438469175624,23.671385587770554,0.10591766998893407
100.0,40.0,0.1,20.0,100,0.44,0.91,8.785936548425414,-1.8888532687988952,22.50288030921714,0.10342247284607795
100.0,40.0,0.2,0.0,100,1.0,1.0,70.02520888274268,42.81985161908636,101.72414974861697,0.19754299132808426
100.0,40.0,0.2,10.0,100,1.0,1.0,53.10264246995285,33.65505741250455,80.01851153704512,0.19957424166476566
100.0,40.0,0.2,20.0,100,0.99,1.0,49.19737872455751,30.427399025296057,72.11203394815067,0.19984557314630348
100.0,40.0,0.3,0.0,100,1.0,1.0,171.73039568710744,125.40696844836138,218.6196726808182,0.29906592244706866
100.0,40.0,0.3,10.0,100,1.0,1.0,140.78079173132958,102.98997409308674,182.6089677897304,0.2958526015151968
100.0,40.0,0.3,20.0,100,1.0,1.0,125.37670728019963,91.69340374207944,162.20551950097722,0.2989063566269377
180.0,12.0,0.0,0.0,100,0.0,0.0,-12.90982581585672,-13.944481047574664,-9.62077645270632,0.08972502341158247
180.0,12.0,0.0,10.0,100,0.0,0.0,-12.868683526034488,-13.93636221371106,-9.425363100451345,0.09657908037441944
180.0,12.0,0.0,20.0,100,0.0,0.0,-12.759668296961763,-13.92913905161391,-9.279379956626144,0.10044035572620731
180.0,12.0,0.02,0.0,100,0.0,0.0,-12.445883234364857,-13.860073578274163,-7.719208841095769,0.09385138029650373
180.0,12.0,0.02,10.0,100,0.0,0.0,-12.31689101895998,-13.835876663175101,-7.245865973624223,0.09703323589700206
180.0,12.0,0.02,20.0,100,0.0,0.0,-12.246151201930987,-13.820648884091794,-6.975805438170394,0.10385047792723987
